-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
5.0,10.3,140.9,10.8,5.6
4.7,10.5,144.9,11.0,5.3
4.7,9.8,148.3,11.2,5.3
4.7,10.2,149.0,11.4,5.3
4.7,9.5,148.3,11.0,5.6
4.8,10.3,140.3,11.4,5.5
4.8,9.6,136.4,11.5,5.7
5.1,9.4,147.3,11.2,5.5
4.9,10.2,142.7,11.2,5.5
4.7,9.7,146.0,11.5,5.3
4.7,9.3,138.6,10.6,5.3
5.0,9.5,145.2,10.7,5.6
5.0,10.1,144.5,11.5,5.6
4.6,9.5,137.9,11.3,5.4
5.1,9.3,143.3,11.0,5.7
4.8,9.4,140.9,10.9,5.6
4.6,9.5,142.6,11.6,5.4
4.7,9.9,136.0,10.6,5.5
4.9,9.4,129.9,11.4,5.5
4.7,9.8,130.5,11.4,5.8
5.0,9.8,133.3,11.3,5.6
4.9,10.1,136.3,11.1,5.4
4.7,9.9,133.1,11.4,5.5
4.7,9.6,140.7,11.1,5.6
4.9,10.0,138.7,10.5,5.4
4.6,10.0,145.1,10.4,5.7
5.0,10.1,134.7,10.9,5.6
4.9,9.9,138.2,10.8,5.5
4.9,9.8,137.4,11.0,5.7
4.7,10.2,147.5,11.0,5.6
4.8,9.5,145.1,10.8,5.3
4.9,9.8,148.6,11.4,5.7
4.9,9.8,137.0,11.0,5.6
4.9,10.3,149.9,10.7,5.5
5.0,10.2,143.5,10.8,5.5
5.0,10.0,141.2,11.2,5.8
5.1,9.5,152.9,10.5,5.4
5.0,10.2,141.8,10.9,5.4
5.0,10.4,142.7,10.7,5.7
4.9,10.1,141.5,11.2,5.4
4.9,10.7,150.3,10.0,5.6
5.1,11.2,154.3,9.7,5.7
5.0,13.5,69.7,8.4,5.7
5.3,16.8,43.7,7.5,6.1
5.9,21.6,30.6,6.6,6.1
6.2,31.3,21.6,6.5,6.7
6.9,47.7,17.1,6.0,8.1
7.9,97.7,13.2,5.8,46.9
9.7,146.1,10.5,5.3,39.4
12.1,103.0,9.5,5.4,36.2
15.0,52.0,8.0,5.9,32.4
20.4,31.6,6.6,5.6,31.1
31.3,21.0,6.1,6.7,28.4
50.0,16.2,6.0,7.8,27.5
111.0,12.6,5.8,45.0,26.5
142.3,10.6,5.8,40.1,27.5
89.7,8.6,5.6,35.8,28.0
42.9,7.5,6.1,31.8,27.0
30.1,6.8,6.3,29.9,27.9
20.2,6.5,7.1,28.5,19.3
16.3,5.7,8.1,27.4,13.8
12.2,5.9,45.2,27.8,11.6
10.5,5.5,38.7,26.3,9.6
8.6,5.8,34.8,27.5,7.7
7.7,6.0,32.3,27.7,7.0
7.0,5.4,29.6,28.7,6.5
6.2,5.8,28.5,27.3,6.7
6.1,6.0,27.1,25.4,6.5
5.9,5.6,26.5,24.1,6.4
5.0,5.7,26.0,24.7,6.6
4.9,5.5,25.1,22.9,7.2
4.4,57.8,24.8,24.6,7.3
4.2,56.3,24.0,23.7,7.6
3.7,52.0,22.7,24.2,8.2
2.7,49.3,19.9,21.6,8.7
2.2,50.2,19.6,20.9,9.0
2.1,44.9,18.6,20.8,9.3
1.9,43.8,16.1,19.0,9.5
1.5,39.6,15.9,18.0,10.2
5.5,37.1,14.1,16.7,10.0
7.9,36.6,14.5,15.2,10.6
9.1,37.2,12.7,15.3,10.7
8.6,37.6,12.8,13.8,11.7
7.3,46.5,13.5,13.2,11.6
6.0,57.1,13.6,12.1,13.2
4.3,92.5,14.1,11.4,15.0
3.1,160.7,16.7,10.5,16.2
2.5,170.0,17.8,10.3,17.5
2.3,157.5,18.7,9.9,16.3
2.4,93.6,18.4,10.4,15.4
2.7,75.9,19.4,9.9,14.4
2.4,62.0,19.1,9.4,14.0
3.4,61.0,19.2,9.2,13.0
3.6,60.8,18.8,8.7,12.5
4.2,61.2,19.1,8.5,12.3
4.7,60.7,17.8,7.8,11.6
4.8,61.2,17.6,8.0,10.9
5.0,53.4,18.1,7.6,10.3
4.9,37.9,20.7,7.2,9.9
4.5,29.3,23.9,7.3,9.0
4.2,22.7,26.8,7.6,7.9
4.3,21.4,28.7,7.7,7.5
4.5,21.1,29.7,7.8,7.7
4.6,19.3,31.7,7.2,7.2
4.8,19.9,31.4,7.1,6.6
5.0,20.6,31.9,7.1,6.2
5.5,20.4,34.1,6.8,5.7
5.6,19.9,32.3,6.4,5.6
6.3,21.5,31.6,6.0,5.1
6.9,22.2,30.3,5.4,4.7
7.0,23.5,28.9,4.9,4.3
7.4,23.8,28.1,4.8,3.8
7.5,24.4,26.6,4.1,3.2
8.1,25.1,25.7,3.6,2.9
8.3,26.2,24.5,3.2,2.5
9.1,26.0,24.9,3.1,2.2
8.5,24.0,29.6,3.3,2.0
8.7,21.3,43.5,3.5,1.6
8.6,17.7,81.5,4.0,1.4
8.9,15.0,143.9,5.1,1.3
9.0,13.6,146.4,5.7,1.3
8.9,13.9,151.8,6.8,1.3
8.7,12.3,100.1,7.0,1.4
8.7,11.9,82.9,8.2,1.5
9.2,12.3,73.0,9.0,1.7
8.6,10.8,65.4,9.0,1.8
8.8,11.5,66.9,9.7,2.1
8.6,10.9,59.6,10.5,2.4
8.2,10.1,60.2,10.7,2.6
7.6,9.8,54.3,12.2,2.7
7.2,9.6,53.9,12.2,3.0
7.6,9.3,54.7,13.0,3.5
6.9,9.4,52.7,13.9,3.9
6.5,8.6,48.9,14.4,4.2
6.5,8.4,51.7,14.9,4.4
6.1,8.0,49.8,15.4,4.7
5.8,7.7,45.4,16.6,5.0
5.7,7.4,46.8,16.7,5.3
5.2,6.7,44.3,17.5,5.5
4.9,6.4,41.2,16.9,6.2
4.5,5.9,39.5,18.0,6.0
4.0,5.9,41.9,19.7,6.5
3.9,5.3,37.0,19.7,6.9
3.7,5.2,38.1,20.6,7.5
3.2,4.8,34.8,20.5,7.6
2.7,4.3,34.0,21.2,7.5
2.5,4.0,34.2,21.2,8.0
2.3,3.4,32.5,22.9,8.6
1.9,3.2,31.5,23.5,8.8
1.6,2.8,29.4,22.7,9.1
1.3,2.5,27.5,24.2,9.4
0.9,2.1,27.8,24.6,9.4
0.6,1.6,25.3,24.5,9.8
0.2,1.4,24.7,26.5,10.9
0,0.9,22.1,27.1,11.4
0,0.6,22.0,26.1,10.6
0,0.7,27.5,26.1,11.6
0,0.7,31.6,25.4,10.9
0,0.6,33.2,25.0,10.9
0,0.6,40.0,22.1,10.8
0,0.6,47.5,22.7,11.6
0,0.6,56.9,22.1,11.1
0,0.6,65.9,21.0,11.1
0,0.6,88.2,22.0,11.7
0,0.6,88.0,22.0,11.6
0,0.6,91.3,20.3,11.2
0,0.6,84.4,20.9,11.7
0,0.6,90.8,21.3,11.1
0,0.6,84.3,19.3,11.4
0,0.6,79.9,21.1,11.5
0,0.6,85.8,19.3,11.5
0,0.6,84.7,20.1,11.5
0,0.6,82.1,20.1,11.6
0,0.6,79.4,19.7,12.2
0,0.6,77.8,20.0,11.5
0,0.6,74.2,19.7,12.0
0,0.6,76.3,19.3,11.6
0,0.6,76.3,19.9,11.7
0,0.6,72.1,20.2,11.7
0,0.6,67.9,19.4,11.3
0,0.6,70.7,18.8,12.1
0,0.6,66.1,20.3,12.3
0,0.6,65.5,20.6,11.4
0,0.6,67.7,19.7,12.0
0,0.6,65.3,20.3,12.0
0,0.6,61.3,19.5,11.3
0,0.6,58.3,19.2,12.0
0,0.6,62.6,18.8,11.7
0,0.6,59.9,19.2,12.2
0,0.6,57.5,18.9,11.4
0,0.6,55.6,20.1,11.8
0,0.6,56.2,19.8,11.7
0,0.6,54.2,19.6,12.2
0,0.6,49.2,20.1,11.9
0,0.6,51.1,20.8,12.1
0,0.6,48.1,19.2,12.0
0,0.6,46.4,20.0,11.3
0,0.6,45.1,20.7,11.5
0,0.6,45.7,19.5,12.0
0,0.6,41.9,20.5,11.8
0,0.6,40.5,19.1,12.1
0,0.6,43.0,20.3,11.4
0,0.6,39.7,20.5,11.5
0,0.6,37.7,20.5,11.7
0,0.6,38.4,20.3,11.8
0,0.6,34.9,20.5,11.4
0,0.6,34.4,19.7,11.8
0,0.6,33.3,20.7,11.8
0,0.6,30.9,20.7,11.3
0,0.6,30.2,19.7,12.2
0,0.6,30.4,19.0,11.2
0,0.6,28.0,20.2,12.1
0,0.6,26.1,19.0,11.3
0,0.6,24.3,20.6,11.6
0,0.6,23.8,19.8,11.8
0,33.6,22.7,20.3,12.0
0,34.9,21.5,20.5,12.2
0,33.3,19.4,18.9,12.0
0,30.5,18.9,20.7,11.2
0,28.3,17.5,19.7,11.4
0,27.3,17.2,19.7,12.2
168.8,26.1,17.3,20.0,11.4
43.6,27.9,15.5,20.4,12.2
17.0,28.7,16.7,21.6,12.1
8.1,30.1,15.1,21.5,11.6
1.8,34.4,16.4,18.5,11.9
0.3,42.5,16.1,17.9,13.4
0,56.2,16.6,16.9,13.7
0,77.6,19.0,15.7,14.9
0,153.7,21.4,15.7,17.1
0.4,162.4,22.4,15.2,18.8
1.3,27.5,25.2,15.2,22.5
2.7,8.0,34.1,15.5,19.9
4.2,3.4,37.5,14.3,18.3
6.6,2.0,43.3,15.2,17.0
8.9,1.4,52.9,15.4,15.8
12.1,1.1,61.3,15.9,14.7
15.1,1.0,73.0,16.8,13.6
16.8,0.9,82.6,16.2,13.9
18.3,1.0,84.5,16.3,13.0
18.6,1.0,92.4,17.5,13.7
17.5,1.0,90.1,16.2,13.8
14.9,1.1,102.8,16.3,12.8
12.9,1.3,94.8,16.4,12.6
10.5,1.2,102.0,16.8,12.2
7.4,1.4,104.8,17.5,13.0
4.4,1.4,97.2,16.1,12.7
1.3,2.4,103.1,17.0,12.4
0,2.7,104.7,15.5,12.3
0,2.8,97.3,15.8,12.2
0,2.9,102.4,15.5,12.4
0,3.2,94.9,15.9,11.7
0,3.4,100.5,14.8,11.2
0,3.1,114.5,16.7,11.9
0,2.5,162.8,16.7,11.0
0,2.2,148.5,16.5,11.3
0,2.1,155.2,17.1,11.6
0,1.9,152.6,18.3,10.9
0,1.9,156.8,18.8,11.5
0,1.8,149.7,18.1,11.1
0,1.9,152.4,19.4,10.8
0,1.9,153.6,17.8,11.3
0,1.8,153.9,18.1,10.7
0,1.8,151.2,19.9,10.9
0,1.7,148.1,18.9,11.5
0,1.8,146.5,18.4,10.6
0,1.6,145.9,19.1,11.5
0,1.6,145.1,18.7,11.0
0,1.6,141.0,18.7,10.8
0,1.5,138.9,19.9,10.6
0,1.4,146.3,19.7,11.8
0,1.4,141.3,20.6,11.4
0,1.4,139.6,19.1,11.1
0,1.3,133.5,19.5,11.5
0,1.3,135.5,19.2,11.0
0,1.2,131.0,19.5,11.9
0,1.1,138.1,19.7,10.8
0,1.1,134.9,19.6,11.2
0,1.1,130.6,19.1,11.9
0,1.0,128.8,19.6,12.1
0,0.9,123.4,19.4,11.6
0,0.9,121.8,20.7,11.6
0,0.8,127.0,21.3,11.5
0,0.8,129.4,20.0,11.8
0,0.7,121.6,20.6,11.0
0,0.6,127.6,20.3,11.4
0,0.6,120.0,19.9,12.1
0,0.5,122.9,21.3,11.2
0,0.5,113.1,21.3,11.9
0,0.4,114.6,20.6,11.8
0,0.4,110.8,21.5,12.1
0,0.3,109.2,20.3,11.7
0,0.3,117.6,19.8,11.2
0,0.3,112.9,19.5,11.8
